Kanji/Katakana;Hiragana/Romaji;TiengViet;PhanLoai
Tシャツ;てぃーしゃつ (Tiishatsu);Áo thun;Trang phục
シャツ;しゃつ (Shatsu);Áo sơ mi;Trang phục
スカート;すかーと (Sukāto);Váy;Trang phục
ジーンズ;じーんず (Jiinzu);Quần jeans;Trang phục
靴;くつ (Kutsu);Giày;Trang phục
時計;とけい (Tokei);Đồng hồ;Trang phục
消しゴム;けしごむ (Keshigomu);Gôm, tẩy;Đồ dùng
食器;しょっき (Shokki);Chén bát;Đồ dùng
シャーペン;しゃーぺん (Shāpen);Bút chì bấm;Đồ dùng
スプーン;すぷーん (Supūn);Thìa, muỗng;Đồ dùng
ボールペン;ぼーるぺん (Bōrupen);Bút bi;Đồ dùng
フォーク;ふぉーく (Fōku);Nĩa;Đồ dùng
本屋;ほんや (Hon'ya);Nhà sách;Địa điểm
映画館;えいがかん (Eigakan);Rạp chiếu phim;Địa điểm
庭;にわ (Niwa);Khu vườn;Địa điểm
ビル;びる (Biru);Tòa nhà;Địa điểm
木;き (Ki);Cây;Đồ vật
モール;もーる (Mōru);Trung tâm mua sắm;Địa điểm
綺麗な;きれいな (Kireina);Đẹp, sạch;Tính từ Na
広い;ひろい (Hiroi);Rộng rãi;Tính từ I
大きい;おおきい (Ōkii);Lớn, to;Tính từ I
可愛い;かわいい (Kawaii);Dễ thương;Tính từ I
薄い;うすい (Usui);Nhạt, mỏng;Tính từ I
白い;しろい (Shiroi);Trắng;Tính từ I
会います;あいます (Aimasu);Gặp gỡ;Động từ
疲れます;つかれます (Tsukaremasu);Mệt mỏi;Động từ
お腹がすきます;おなかがすきます (Onaka ga sukimasu);Đói bụng;Cụm động từ
出ます;でます (Demasu);Ra khỏi;Động từ
送ります;おくります (Okurimasu);Tiễn, đưa về;Động từ
知っています;しっています (Shitte imasu);Biết;Thể trạng thái
